Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
Planegg;19073;19017;ja;16.03.2020;Herr Irrgang;20515;Augustin Catering GmbH;Augustin Catering GmbH;Hauptstraße 18;86920;Denklingen;;;;
Emons;19081;19018;ja;16.03.2020;Herr Irrgang;20191;Gleisner GmbH & Co.KG;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
STK Service;19082;19019;ja;16.03.2020;Herr Irrgang;20295;Die Voerder Baugenossensc;Die Voerder Baugenossenschaft;An der Voerde 2;58256;Ennepetal;;;;
Planegg;;19020;ja;16.03.2020;Herr Irrgang;20931;ITS US MEDIA Föhr;IT´S US Media;Kastanienallee 24;10435;Berlin;;;;
Planegg;19084;19021;ja;16.03.2020;Herr Irrgang;20932;Potthoff;Janes Potthoff;Fregestr. 2;4105;Leipzig;;;;
Planegg;19085;19022;ja;16.03.2020;Herr Irrgang;20933;Saleh;Nagla Saleh;Immenstadter Str. 19;81475;München;;;;
Avaless BM;19087;19023;ja;16.03.2020;Herr Kühn;20423;Hoellinger GmbH;Lieferando;Grindelberg 59 - 69;20144;Hamburg;;;;
Planegg;19086;19024;ja;16.03.2020;Herr Irrgang;20934;Madina Saleh;Madina Saleh;Immenstadter Str. 19;50672;Köln;;;;
Planegg;19088;19025;ja;16.03.2020;Herr Irrgang;20935;Pösken;Christoph Pösken;Hauptstr. 43;47509;Rheurdt;;;;
Planegg;;19026;ja;16.03.2020;Herr Irrgang;20936;Strobel Leske;Strobel / Leske;Willy-Brandt-Str. 61;6110;Halle/Saale;;;;
Planegg;19090;19027;ja;16.03.2020;Herr Irrgang;20937;Birgit Lieb;Birgit Lieb;Packstation 146;74172;Neckarsulm;;;;
Planegg;19091;19028;ja;16.03.2020;Herr Irrgang;20938;Evi Weber;Evi Weber;Brunngasse 18 b;94127;Neuburg a. Inn;;;;
Planegg;19092;19029;ja;16.03.2020;Herr Irrgang;20939;Meusener;Katharina Meusener;Heideggerstr. 15;48165;Münster;;;;
Planegg;19093;19030;ja;16.03.2020;Herr Irrgang;20940;Zeiser;Marina Zeiser;Dragonerweg 14;33104;Paderborn;;;;
Planegg;19094;19031;ja;16.03.2020;Herr Irrgang;20941;Mulzer;Martin Mulzer Garten-/Landschaftsbau;Scharnhauser Str. 62;73760;Ostfildern;;;;
Planegg;19095;19032;ja;16.03.2020;Herr Irrgang;20942;Wito Reinhardt;Wito Reinhardt;Am Hopfenberg 13;99096;Erfurt;;;;
Planegg;19096;19033;ja;16.03.2020;Herr Rocho;20120;Schmid Alarm GmbH;Schmid Alarm GmbH;Gautinger Str. 9;82131;Stockdorf;;;;
Planegg;;19034;ja;16.03.2020;Herr Irrgang;20943;Kachler;David Kachler;Schießplatzstr. 38a;90469;Nürnberg;;;;
Planegg;;19035;ja;16.03.2020;Herr Irrgang;20944;NFT Ibbenbüren;Natalie Saatkamp;Ignatz-Wiemeler-Straße 16;49479;Ibbenbüren;;;;
Emons;19099;19036;ja;16.03.2020;Herr Irrgang;10102;Steinmeier GmbH;Steinmeier GmbH;Landhagen 1;33803;Steinhagen;;;;
Planegg;19100;19037;ja;16.03.2020;Herr Irrgang;20945;Tucht;Harald Tucht;Oberlöricker Str. 341;40547;Düsseldorf;;;;
Planegg;19102;19038;ja;16.03.2020;Herr Irrgang;20946;Schmid Landsberg;Bernhard Schmid;Erpftinger Str. 17;86899;Landsberg;;;;
Planegg;;19039;ja;16.03.2020;Herr Irrgang;20864;Schirmer&Zitzl GbR;Schirmer & Zitzl GbR;Karlstr.19;6844;Dessau;;;;
Planegg;;19040;ja;16.03.2020;Herr Irrgang;20947;Zöller;Achim Zöller;Lakweg 29;24568;Kaltenkirchen;;;;
Planegg;19105;19041;ja;16.03.2020;Herr Irrgang;20948;Gagern;Georg von Gagern;Oskarstraße 3;1219;Dresden;;;;
Planegg;19106;19042;ja;16.03.2020;Herr Irrgang;20948;Gagern;Georg von Gagern;Oskarstraße 3;1219;Dresden;;;;
Planegg;;19043;ja;16.03.2020;Herr Irrgang;20949;Buchberger;Florian Buchberger;Britzer Damm 136;12347;Berlin;;;;
Planegg;19108;19044;ja;16.03.2020;Herr Irrgang;20950;Funkenburgstudio Kemnitz;Funkenburgstudio;Funkenburgstraße 12;4105;Leipzig;;;;
Planegg;19109;19045;ja;16.03.2020;Herr Irrgang;20951;Cynkar;Annette Cynkar;Zeppelinstraße 2;40231;Düsseldorf;;;;
Planegg;;19046;ja;16.03.2020;Herr Irrgang;20952;Helaß;Dustin Helaß;Dorfstr. 32;8107;Kirchberg;;;;
Planegg;19111;19047;ja;17.03.2020;Herr Irrgang;20953;Langetepe;Kim-Iris Koch-Langetepe;Wohnung 93;72760;Reutlingen;;;;
Planegg;19112;19048;ja;16.03.2020;Herr Irrgang;20349;Das Backhaus Starck;Das Backhaus Starck;Gernsheimer Straße 113;64319;Pfungstadt;;;;
Planegg;19113;19050;ja;23.03.2020;Herr Irrgang;20248;Wasserfilter-Zentrum;Ladenkiste UG (haftungsbeschränkt);Teichberg 30;34286;Spangenberg;;;;
Planegg;19114;19051;ja;16.03.2020;Herr Irrgang;20774;M. Asam GmbH;M. Asam GmbH;Feringastrasse 12 A;85774;Unterföhring;;;;
Planegg;19115;19052;ja;16.03.2020;Herr Irrgang;20234;Bühler-Catering GmbH;Bühler-Catering GmbH;Industriestr. 2 b;76275;Ettlingen;;;;
Planegg;;19053;ja;13.03.2020;Frau Gräf;20259;STK Service Michael Seili;STK Service Michael Seiling;Werkstr. 12;59348;Lüdinghausen;;;;
Planegg;19117;19054;ja;17.03.2020;Frau Gräf;20259;STK Service Michael Seili;STK Service Michael Seiling;Werkstr. 12;59348;Lüdinghausen;;;;
Emons;19118;19055;ja;17.03.2020;Herr Irrgang;20576;TSG Tafelwassersysteme;TSG Tafelwassersysteme;Werkstraße 2;28844;Weyhe;;;;
Planegg;19119;19056;ja;17.03.2020;Herr Irrgang;20671;Automaten Terres;Automaten Terres;Irscher Str. 11;54316;Hockweiler;;;;
Planegg;#51692 Jens Lehrich; DE;19057;ja;16.03.2020;Frau Gräf;20218;WW Wohnwagon GmbH;Jens Lehrich;Kielortallee 6;20144;Hamburg;;;
Strecke;19120;19058;ja;17.03.2020;Herr Irrgang;20671;Automaten Terres;Automaten Terres;Irscher Str. 11;54316;Hockweiler;;;;
Emons;19122;19059;ja;17.03.2020;Herr Irrgang;10034;ewatec;ewatec –  Ihr Partner für Wasser und Kaffee;Am Werkhaus 18;87480;Weitnau;;;;
Emons;19123;19060;ja;17.03.2020;Herr Irrgang;20671;Automaten Terres;Automaten Terres;Langwies 9;54296;Trier;;;;
Planegg;19125;19061;ja;17.03.2020;Frau Gräf;20218;WW Wohnwagon GmbH;Denise Steffl;Klobensteinerstr. 4;6345;Kössen;;;;
Emons;19124;19062;ja;17.03.2020;Herr Irrgang;20315;Peter Goetz GmbH;Peter Goetz GmbH;Grünaustraße 5;30455;Hannover;;;;
Planegg;LSK22143;19064;ja;17.03.2020;Frau Gräf;20105;Ernst Echter GmbH & Co.KG;Ernst Echter GmbH & Co.KG;Rathausplatz 9-11;82362;Weilheim;;;;
Planegg;19111;19065;ja;01.04.2020;Herr Irrgang;20953;Langetepe;Kim-Iris Koch-Langetepe;Wohnung 93;72760;Reutlingen;;;;
Planegg;19126;19067;ja;17.03.2020;Frau Böhm;20954;Miske;Henrice Miske;Lindenallee 52;21465;Reinbek;;;;
Planegg;LSK22159;19068;ja;17.03.2020;Frau Gräf;20730;Rauh Systeme e.K;Rauh Systeme e.K;Allgäuer Straße 26;87787;Niederdorf;;;;
Planegg;19127;LS19069;ja;17.03.2020;Frau Böhm;20955;Schorr Holzbau;Gerhard Schorr;Mutterstadter Weg 15;67117;Limburgerhof;;;;
Planegg;19129;LS19071;ja;17.03.2020;Herr Kühn;20772;Crystal Water;Crystal Water;Jäger-Von-Fall Str. 15;85521;Hohenbrunn;;;;
Planegg;19131;LS19072;ja;17.03.2020;Frau Reiland;20639;Franz Schmitt GmbH & Co.;Franz Schmitt GmbH & Co. KG;Schäftlarnstraße 10;81371;München;;;;
Planegg;19130;LS19073;ja;17.03.2020;Herr Irrgang;20234;Bühler-Catering;Bühler-Catering GmbH;Industriestr. 2 b;76275;Ettlingen;;;;
Planegg;19132;LS19074;ja;17.03.2020;Herr Irrgang;20576;TSG Tafelwassersysteme;TSG Tafelwassersysteme;Werkstraße 2;28844;Weyhe;;;;
Planegg;19133;LS19077;ja;17.03.2020;Frau Reiland;20362;Emons Spedition GmbH;Emons Spedition GmbH;Lindberghstr. 6;85399;Hallbergmoos;;;;
Planegg;19134;LS19078;ja;17.03.2020;Herr Irrgang;20481;Irrgang;Irrgang;Marbachstr. 19;81369;München;;;;
Planegg;19135;LS19079;ja;18.03.2020;Frau Böhm;20958;Peters Braunschweig;Nadine Peters;Diesterwegstr. 6 4. OG li.;38114;Braunschweig;;;;
Planegg;19136;LS19080;ja;18.03.2020;Frau Gräf;20218;WW Wohnwagon GmbH;Martin Eder;Ginstergasse 14;3400;Weidlingbach;;;;
Planegg;19137;LS19081;ja;18.03.2020;Herr Irrgang;20957;Vogel;Automatenservice Vogel GmbH;Am Flugplatz 42; Geb.17;56743;Mending;;;
Emons;19138;LS19082;ja;18.03.2020;Herr Irrgang;20957;Vogel;Automatenservice Vogel GmbH;Am Flugplatz 42; Geb.17;56743;Mending;;;
Planegg;19139;LS19083;ja;18.03.2020;Frau Gräf;20218;WW Wohnwagon GmbH;Karl Pilch;Fabriksteig 14/6;9500;Villach;;;;
Planegg;19143;LS19084;ja;18.03.2020;Frau Gräf;20218;WW Wohnwagon GmbH;Trixie Smutny;Schönauerstr. 2;2542;Kottinbrunn;;;;
Planegg;19140;LS19085;ja;18.03.2020;Frau Reiland;20545;Herzpark Mönchengladbach;Herzpark Mönchengladbach GmbH;Louise-Gueury-Straße 400;41169;Mönchengladbach;;;;
Planegg;19141;LS19086;ja;18.03.2020;Frau Reiland;20802;Notstromtechnik-Clasen Gm;Notstromtechnik-Clasen GmbH;Kurt-Fischer-Str. 39;22926;Ahrensburg;;;;
Planegg;19142;LS19087;ja;18.03.2020;Frau Reiland;20221;Abschnitt West;Abschnitt West;Romanstraße 13;80639;München;;;;
Planegg;LSK22163;LS19088;ja;18.03.2020;Frau Gräf;20176;markt.de GmbH & Co.KG;markt.de GmbH & Co.KG;Nymphenburger Str. 14;80335;München;;;;
Planegg;19144;LS19089;ja;18.03.2020;Frau Reiland;20836;Asam Betriebs GmbH;Asam Betriebs GmbH;Bayerwaldstr. 15;94377;Steinach;;;;
Emons;19145;LS19091;ja;18.03.2020;Frau Reiland;20545;Herzpark Mönchengladbach;Herzpark Mönchengladbach GmbH;Louise-Gueury-Straße 400;41169;Mönchengladbach;;;;
Planegg;19146;LS19093;ja;18.03.2020;Frau Böhm;20959;Ullmann Forchheim;Johannes Ullmann;Regnitzau 8;91301;Forchheim;;;;
Planegg;19148;LS19095;ja;18.03.2020;Frau Böhm;20961;Thiele Hamburg;Laura Thiele c/o Devollaj;Moorburger Kirchdeich 20;21079;Hamburg;;;;
Planegg;19147;LS19096;ja;18.03.2020;Herr Irrgang;20566;pure engineering GmbH;pure engineering GmbH;Holzwiesenweg 9;73635;Rudersberg-Steinenberg;;;;
Planegg;19149;LS19097;ja;18.03.2020;Herr Irrgang;20413;Lowescher;Lowescher Automaten Catering;Benzstraße 8;48599;Gronau;;;;
Planegg;19150;LS19098;ja;18.03.2020;Frau Reiland;20155;Steuerkanzlei Klein;Steuerkanzlei Klein;Lüderitzstr. 2;81929;München;;;;
Planegg;;LS19099;ja;18.03.2020;Frau Reiland;20155;Steuerkanzlei Klein;Steuerkanzlei Klein;Lüderitzstr. 2;81929;München;;;;
Planegg;19151;LS19100;ja;18.03.2020;Herr Irrgang;20561;Aquatwins UG;Berger Gastro-Service;Gardeschützenweg 74;12203;Berlin;;;;
Planegg;19151;LS19101;ja;18.03.2020;Herr Irrgang;20561;Aquatwins UG;Christine Pöppe;Büchener Weg 25;21481;Lauenburg/Elbe;;;;
Planegg;19151;LS19102;ja;18.03.2020;Herr Irrgang;20561;Aquatwins UG;Ralf Landsch;Montzstraße 4;41515;Grevenbroich;;;;
Emons;19153;LS19103;ja;19.03.2020;Herr Irrgang;20475;Aquagast Wasseraufbereitu;Aquagast Wasseraufbereitungs- und Gastrotechn;Hofsteigstraße 112;6858;Schwarzach;;;;
Emons;19154;LS19104;ja;19.03.2020;Herr Irrgang;20963;K+H Automatendienst GmbH;K+H Automatendienst GmbH;Mark I 22;59269;Beckum;;;;
Emons;LSK22120;LS19106;ja;19.03.2020;Herr Irrgang;10160;AVALESS GmbH;AVALESS GmbH;Hansastr. 24;49205;Hasbergen;;;;
Planegg;19155;LS19107;ja;19.03.2020;Herr Irrgang;20561;Aquatwins UG;Christine Pöppe;Büchener Weg 25;21481;Lauenburg/Elbe;;;;
Planegg;19156;LS19108;ja;19.03.2020;Frau Reiland;20962;Fuelscher;Birgit Fuelscher;Elisabethstrasse 45;80796;München;;;;
Planegg;19157;LS19109;ja;19.03.2020;Frau Böhm;20964;Stolz Berlin;Markus Stolz;Lottumstr. 24;10119;Berlin;;;;
Planegg;;LS19110;ja;19.03.2020;Frau Reiland;20965;FRESNAIS;FRESNAIS FrancoisePOmam;5 rue de couthiol;26250;Livron Sur Drome;;;;
Planegg;19159;LS19111;ja;19.03.2020;Frau Böhm;20966;Eypasch;Christian Eypasch;Arthur-Piechler-Str.10;86161;Augsburg;;;;
Planegg;19160;LS19112;ja;19.03.2020;Frau Reiland;20967;Uschi Petri;Uschi Petri;Im Lustgarten 5;66557;Illingen;;;;
Planegg;19151;LS19113;ja;19.03.2020;Herr Irrgang;20561;Aquatwins UG;Ralf Landsch;Montzstraße 4;41515;Grevenbroich;;;;
Planegg;;LS19114;ja;19.03.2020;Herr Irrgang;20832;Rittmeyer-Breu;Rittmeyer-Breu;Garnbachstraße 9;86926;Greifenberg;;;;
Planegg;19162;LS19115;ja;19.03.2020;Frau Reiland;20968;Goldbach;Goldbach Germany GmbH;Feringastraße 12 b;85774;Unterföhring;;;;
Planegg;;LS19116;ja;31.03.2020;Herr Irrgang;20298;Atlantis;Atlantis Trinkwassertechnik GmbH;Kornstr. 4;79258;Hartheim;;;;
Emons;19164;LS19118;ja;19.03.2020;Herr Irrgang;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Planegg;19165;LS19120;ja;19.03.2020;Herr Irrgang;20128;Avendi GmbH;Avendi GmbH;Alpspitzstraße 4;82131;Stockdorf;;;;
Planegg;19166;LS19121;ja;01.04.2020;Herr Irrgang;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Planegg;;LS19122;ja;19.03.2020;Frau Reiland;20969;Vargas;Henry Fuchs Vargas;Stabelsteiner Weg 25;61267;Neu-Anspach;;;;
Planegg;19168;LS19123;ja;19.03.2020;Frau Böhm;20970;Klöckner;Judith Klöckner;Am Strauch 92;40723;Hilden;;;;
Planegg;;LS19124;ja;19.03.2020;Frau Reiland;20971;Hollidev;Hollidev;11 rue de semoine;10230;Mailly Le Camp;;;;
Planegg;19170;LS19125;ja;19.03.2020;Frau Böhm;20972;Pinhal;Gudrun Pinhal;Hardstraße 4;76530;Baden-Baden;;;;
Planegg;19171;LS19126;ja;19.03.2020;Frau Reiland;20973;Sartini;Nino sartiniNino sartini;Kiffhaberstraße 7;86940;SchwiftingSchwifting;;;;
Planegg;19173;LS19127;ja;19.03.2020;Frau Reiland;20974;GTÜ Schober;Claudia Schober;Gewerbepark 4;85646;Anzing;;;;
Planegg;19172;LS19128;ja;19.03.2020;Herr Irrgang;20729;CJM Der Wassermann UG -ha;CJM Der Wassermann UG -haftungsbeschränkt-;Gronenfelder Weg 2;15234;Frankfurt;;;;
Planegg;19183;LS19129;ja;19.03.2020;Herr Irrgang;20370;Automaten Reinhardt KG;Automaten Reinhardt KG;Zum Tälchen 5;1723;Kesselsdorf;;;;
Planegg;19174;LS19130;ja;20.03.2020;Frau Böhm;20975;Bechthold;Tim Bechthold;Sadelerstr. 23;80638;München;;;;
Planegg;19175;LS19131;ja;20.03.2020;Frau Böhm;20976;Kasseckert;Frank Kasseckert;Akazienweg 20 b;38820;Halberstadt;;;;
Planegg;19176;LS19132;ja;20.03.2020;Frau Böhm;20218;WW Wohnwagon GmbH;WW Wohnwagon GmbH;Vorderbruck 21a;2770;Gutenstein;;;;
Planegg;19177;LS19133;ja;20.03.2020;Frau Böhm;20218;WW Wohnwagon GmbH;Michael Poustchi;Gallhorner Weg 16 A;29640;Schneverdingen;;;;
Planegg;19178;LS19134;ja;20.03.2020;Frau Böhm;20218;WW Wohnwagon GmbH;Manuela Raab;Siegfried Ludwig Str. 1/10;2753;MARKT PIESTING;;;;
Planegg;19179;LS19135;ja;20.03.2020;Frau Böhm;20977;Schebitz;Tim Schebitz;Arnoldstr. 9A;99734;Nordhausen;;;;
Planegg;19180;LS19136;ja;20.03.2020;Frau Böhm;20864;Schirmer&Zitzl GbR;Schirmer&Zitzl GbR;Karlstr.19;6844;Dessau;;;;
Planegg;19181;LS19137;ja;20.03.2020;Frau Reiland;20978;Torben Knopf;Torben Knopf;Plettstruther Weg 7;35759;Driedorf;;;;
Planegg;19182;LS19138;ja;20.03.2020;Frau Böhm;20248;Wasserfilter-Zentrum;Ladenkiste UG (haftungsbeschränkt);Teichberg 30;34286;Spangenberg;;;;
Planegg;19187;LS19139;ja;23.03.2020;Frau Böhm;20558;HELIOdynamics;HELIOdynamics;Bachgasse 4;96175;Pettstadt;;;;
Planegg;;LS19140;ja;20.03.2020;Frau Reiland;20979;H.-U. Mann;H.-U. Mann;Neu-Jürgenstorf 3;17153;Stavenhagen; Reuterstadt;;;
Planegg;19185;LS19141;ja;20.03.2020;Frau Reiland;20980;Brumme;Reiner Brumme;Eckstraße 1a;9113;Chemnitz;;;;
Planegg;19186;LS19142;ja;20.03.2020;Frau Reiland;20981;Gollnick;Bert Gollnick;Irma-Keilhack-Ring 29;22145;Hamburg;;;;
Planegg;19188;LS19144;ja;20.03.2020;Frau Böhm;20955;Schorr Holzbau;Gerhard Schorr;Mutterstadter Weg 15;67117;Limburgerhof;;;;
Planegg;19189;LS19145;ja;20.03.2020;Frau Reiland;20982;Byrne;Barbara Byrne;7 La Motte;86350;Payroux; La Vienne;;;
Planegg;#51808;LS19146;ja;20.03.2020;Frau Gräf;20218;WW Wohnwagon GmbH;Michael Poustchi;Gallhorner Weg 16 a;29640;Schneverdingen;;;;
Planegg;19193;LS19148;ja;20.03.2020;Frau Böhm;20218;WW Wohnwagon GmbH;Manuela Raab;Siegfried Ludwig Str. 1/10;2753;MARKT PIESTING;;;;
Planegg;19180;LS19150;ja;01.04.2020;Frau Böhm;20864;Schirmer&Zitzl GbR;Schirmer&Zitzl GbR;Karlstr.19;6844;Dessau;;;;
Planegg;19196;LS19155;ja;23.03.2020;Frau Reiland;20986;Europa Catering;Europa Catering Reinart;Am Brandweiher 26;52379;Langerwehe;;;;
Emons;LSK19974;LS19156;ja;23.03.2020;Herr Irrgang;20381;The Water Purifier NV;The Water Purifier NV;Genebroekstraat 82;3581;Beverlo;;;;
Emons;;LS19158;ja;23.03.2020;Herr Irrgang;20515;Augustin Catering GmbH;Augustin Catering GmbH;Hauptstr. 18;86920;Denklingen;;;;
Emons;19199;LS19159;ja;23.03.2020;Herr Irrgang;20576;TSG Tafelwassersysteme;TSG Tafelwassersysteme;Werkstraße 2;28844;Weyhe;;;;
Planegg;19200;LS19160;ja;23.03.2020;Frau Böhm;20987;Bamberg;Gerhard Bamberg;An der Weide 6;16816;Neuruppin;;;;
Planegg;19202;LS19161;ja;23.03.2020;Herr Irrgang;20576;TSG Tafelwassersysteme;TSG Tafelwassersysteme;Werkstraße 2;28844;Weyhe;;;;
Planegg;19201;LS19162;ja;23.03.2020;Frau Reiland;20988;Peterlic;Frank Peterlic;Am Zellerbruch 24;63533;Mainhausen;;;;
Planegg;19203;LS19163;ja;23.03.2020;Frau Böhm;20989;Kunz Ismaning;Stefan Kunz;Riedererstr. 6;85737;Ismaning;;;;
Planegg;19204;LS19164;ja;23.03.2020;Frau Böhm;20990;Schönfeld Wanzleben;Ralf Schönfeld bei berend;Rabbethgestraße 29;39164;Wanzleben Börde;;;;
Planegg;19205;LS19166;ja;23.03.2020;Frau Reiland;20983;Dschietzig;Prof. Dr. Thomas Bernd Dschietzig;Genovevastr 4;12555;Berlin;;;;
Planegg;19207;LS19167;ja;23.03.2020;Frau Böhm;20991;Grupp Stuttgart;Felicitas Grupp;Filderstr. 17;70180;Stuttgart;;;;
Planegg;19206;LS19168;ja;23.03.2020;Frau Reiland;20992;Schroth;Karin Schroth;An der Schlamme 10;59457;Werl;;;;
Planegg;19208;LS19169;ja;23.03.2020;Frau Reiland;20993;Plakolli;Leonard Plakolli;Drossenhäuser Weg 14;96484;Meeder;;;;
Emons;19209;LS19170;ja;23.03.2020;Frau Böhm;20994;Joh. Cramer & Cie. KG;Joh. Cramer & Cie. KG;Zehnthofstraße 66;52385;Nideggen;;;;
Planegg;19210;LS19171;ja;23.03.2020;Frau Böhm;20995;Mischkowski;Klaus Mischkowski;Am Schleplingsbach 22;31655;Stadthagen;;;;
Planegg;19211;LS19172;ja;23.03.2020;Frau Reiland;20996;Noetzel;Dr. Jörg Noetzel;Sommerhaldenstr. 92;70195;Stuttgart;;;;
Planegg;19212;LS19173;ja;23.03.2020;Frau Böhm;20864;Schirmer&Zitzl GbR;Schirmer&Zitzl GbR;Karlstr.19;6844;Dessau;;;;
Planegg;19213;LS19174;ja;01.05.2020;Frau Böhm;20864;Schirmer&Zitzl GbR;Schirmer&Zitzl GbR;Karlstr.19;6844;Dessau;;;;
Planegg;;LS19175;ja;23.03.2020;Frau Reiland;20984;Tiedemann;Stina-Marie Tiedemann;Verdener Str. 15;27570;Bremerhaven;;;;
Planegg;19217;LS19176;ja;23.03.2020;Frau Reiland;20821;spaceopal GmbH;spaceopal GmbH;Arnulfstraße 58;80335;München;;;;
Planegg;19113;LS19049;ja;16.03.2020;Herr Irrgang;20248;Wasserfilter-Zentrum;Ladenkiste UG (haftungsbeschränkt);Teichberg 30;34286;Spangenberg;;;;
Emons;19216;LS19178;ja;23.03.2020;Herr Irrgang;20985;Dermaris;Dermaris GmbH;Industriestr. 31;33397;Rietberg;;;;
Emons;19216;LS19179;ja;23.03.2020;Frau Böhm;20985;Dermaris;Dermaris GmbH;Industriestr. 31;33397;Rietberg;;;;
Planegg;19218;LS19180;ja;23.03.2020;Frau Reiland;20155;Steuerkanzlei Klein;Steuerkanzlei Klein;Lüderitzstr. 2;81929;München;;;;
Planegg;;LS19181;ja;23.03.2020;Herr Kühn;20561;Aquatwins UG;Christine Pöppe;Büchener Weg 25;21481;Lauenburg/Elbe;;;;
Planegg;LSK22161;LS19182;ja;23.03.2020;Herr Kühn;20148;KPIT Technologies GmbH;KPIT Technologies GmbH;Adams-Lehmann-Str. 109;80797;München;;;;
Planegg;19220;LS19183;ja;23.03.2020;Herr Irrgang;10034;ewatec;ewatec –  Ihr Partner für Wasser und Kaffee;Am Werkhaus 18;87480;Weitnau;;;;
Planegg;19187;LS19185;ja;01.07.2020;Frau Böhm;20558;HELIOdynamics;HELIOdynamics;Bachgasse 4;96175;Pettstadt;;;;
Planegg;19221;LS19186;ja;23.03.2020;Frau Böhm;20243;PEMA Vollkorn-Spezialität;PEMA Vollkorn-SpezialitätenHeinrich Leupoldt;Goethestraße 23;95163;Weißenstadt;;;;
Emons;19221;LS19190;ja;23.03.2020;Frau Böhm;20243;PEMA Vollkorn-Spezialität;PEMA Vollkorn-SpezialitätenHeinrich Leupoldt;Goethestraße 23;95163;Weißenstadt;;;;
Planegg;19223;LS19191;ja;23.03.2020;Herr Irrgang;10081;PSL GmbH;PSL GmbH;Mastenweg 1;37619;Hehlen;;;;
Planegg;19221;LS19192;ja;23.03.2020;Frau Böhm;20243;PEMA Vollkorn-Spezialität;PEMA Vollkorn-SpezialitätenHeinrich Leupoldt;Goethestraße 23;95163;Weißenstadt;;;;
Planegg;19224;LS19193;ja;23.03.2020;Herr Irrgang;20413;Lowescher;Lowescher Automaten Catering;Benzstraße 8;48599;Gronau;;;;
Planegg;19225;LS19195;ja;24.03.2020;Frau Böhm;20232;Lamsfuß;Lamsfuß;Katharinastraße 1;53773;Hennef (Sieg);;;;
Planegg;19226;LS19196;ja;24.03.2020;Frau Gräf;20657;HEV Heimwerkermarkt GmbH;HEV Heimwerkermarkt GmbH & Co. KG;Gertrude-Blanch-Str. 2 / Rückgeb.;82110;Germering;;;;
Emons;;LS19198;ja;24.03.2020;Herr Irrgang;20997;Johann-Brücker Real;Johann-Bruecker Realschule;Bühl Str. 16;71101;Schönaich;;;;
Planegg;;LS19199;ja;24.03.2020;Frau Gräf;20218;WW Wohnwagon GmbH;Heiko Habedank;Flemingstr. 14;22299;Hamburg;;;;
Planegg;19229;LS19200;ja;24.03.2020;Herr Irrgang;10034;ewatec;ewatec Ihr Partner für Wasser und Kaffee;Am Werkhaus 18;87480;Weitnau;;;;
PSL;19230;LS19201;ja;24.03.2020;Frau Böhm;20854;Job Campus;Job Campus;Via Giambattista Belzoni;146;35121;Padua;;;
Planegg;19236;LS19202;ja;24.03.2020;Herr Irrgang;20997;Johann-Bruecker Real;Johann-Bruecker Realschule;Bühl Str. 16;71101;Schönaich;;;;
