Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
Planegg;114479;LS75715;ja;16.02.2026;Mihaela Abmayr;26597;Dienstleistungsbetrieb de;Dienstleistungsbetrieb der Stadt Ma;Am Krekel 17;35039;Marburg;;;;
Planegg;114482;LS75717;ja;19.02.2026;Estaline Philander;24762;Hermann Hauser GmbH;Hermann Hauser GmbH;Josef-Schorer-Str. 9;86179;Augsburg;;;;
Planegg;114483;LS75718;ja;16.02.2026;Florian Gräf;10133;Veolia Industrie Deutschl;Veolia Solutions Deutschland GmbH;Zweibrückenstraße 15-25;91301;Forchheim;;;;
Emons;114484;LS75719;ja;12.02.2026;Florian Gräf;25000;aboutwater Hungary;aboutwater Zrt;Bárándi u 26-28;8000;SZÉKESFEHÉRVÁR;;;;
Planegg;;LS75720;ja;17.02.2026;Carmen Berger;25940;Gemeinnützige Gesellschaft;Bildungszentrum für Pflege, Gesundheit;Neumarkter Str. 83;81673;München;;;;
Planegg;114481;LS75721;ja;16.02.2026;Mihaela Abmayr;27244;Uwe Hoffmann;Uwe Hoffmann;Heckelberger Ring, 6 9. Etage;13055;Berlin;;;;
Planegg;114487;LS75722;ja;16.02.2026;Mihaela Abmayr;27245;TELOGS GmbH;TELOGS GmbH;Im Ostpark 25;35435;Wettenberg;;;;
Emons;114488;LS75723;ja;24.02.2026;Florian Gräf;20829;Fritz Steinhaus GmbH & Co;Fritz Steinhaus GmbH & Co. KG;Im Heidkamp 17;33334;Gütersloh;;;;
Gleisner;114488;LS75724;ja;12.02.2026;Florian Gräf;20829;Fritz Steinhaus GmbH & Co;Fritz Steinhaus GmbH & Co. KG;Im Heidkamp 17;33334;Gütersloh;;;;
AMW Auersperg;114490;LS75725;ja;18.03.2026;Estaline Philander;24146;Hugo Pfohe Lübeck;Hugo Pfohe GmbH;Am Spargelhof 10;23554;Lübeck;;;;
STK Service;114491;LS75726;ja;27.02.2026;Florian Gräf;20587;Getränke-Service Neumann;Gartner Speditions GmbH;Emscherstraße 48;45891;Gelsenkirchen;;;;
AMW Auersperg;114492;LS75727;ja;17.02.2026;Andreas Pöppe;24728;Berufsbildungswerk Oberlinhaus;Berufsbildungswerk im Oberlinhaus gGmbH;Steinstraße 80 - 84;14480;Potsdam;;;;
Deutscher;114489;LS75728;ja;20.02.2026;Josefine Mättig;25393;Zeeh Design GmbH;Zeeh Design GmbH;Boschstraße 16;82178;Puchheim;;;;
VST Schörling;114494;LS75729;ja;16.02.2026;Andreas Pöppe;23360;Studienseminar Albertinum;Studienseminar Albertinum;Westendstraße 300;81377;München;;;;
Planegg;114493;LS75730;ja;12.02.2026;Max Sanktjohanser;27246;Jan Berens;Jan Berens;Krochmannstraße 82b;22297;Hamburg;;;;
Planegg;114495;LS75732;ja;13.02.2026;Sönke Rocho;23936;UBS Europe SE;UBS Europe SE;Europaplatz 1;81675;München;;;;
Gänshirt-Aufmbruch;112121;LS74252 MBU;ja;16.02.2026;Petra Gräf;23338;Le Gastro;Deutsche Post AG;Lanterstr. 20;46539;Dinslaken;;;;
Planegg;;LS75733;ja;13.02.2026;Sönke Rocho;20774;M. Asam / Asambeauty;M. Asam GmbH;Feringastrasse 12 A;85774;Unterföhring;;;;
VST Schörling;114498;LS75734;ja;16.02.2026;Andreas Pöppe;27087;Franka Robotics;Franka Robotics GmbH;Koppstr. 12;81379;München;;;;
Planegg;114497;LS75735;ja;12.02.2026;Max Sanktjohanser;27247;Bad Marienberg;Verbandsgemeindeverwaltung Bad Marienberg;Kirburger Straße 4;56470;Bad Marienberg;;;;
Planegg Rep.Lager;114499;LS75736;ja;12.02.2026;Florian Gräf;26964;Sodaduck Nothelfer;Stefan Nothelfer und Schaff IT GmbH GbR;Vogtgasse 7;89584;Ehingen /Rißtissen;;;;
Planegg;114500;LS75741;ja;16.02.2026;Estaline Philander;27071;Autohaus Stanglmair (4) Schong;Autohaus Stanglmair GmbH &  Co.Betr.KG;Bahnhofstr. 13;86956;Schongau;;;;
Emons;114501;LS75742;ja;12.02.2026;Max Sanktjohanser;25510;Amazon VZ Berlin;Amazon VZ Berlin-Brandenburg GmbH (BER8);Am Möllenpfuhl 2;12529;Schönefeld;;;;
Planegg;114502;LS75743;ja;16.02.2026;Estaline Philander;26713;Wasserwirtschaftsamt Weilheim;WWA Wasserwirtschaftsamt Weilheim;Pütrichstraße 24  EG;82362;Weilheim;;;;
Bastian;114503;LS75744;ja;19.02.2026;Estaline Philander;24125;Klebl;Klebl GmbH Penning;Penning 3;94094;Rotthalmünster;;;;
Strecke;114504;LS75745;nein;01.03.2026;Estaline Philander;23343;Falck Rettungswache 31.PLA;Falck Notfallrettung und Katastrophenschutz;Poeppigstraße 6;08529;Plauen;;;;
Berlin Wein König;;LS75748;ja;12.02.2026;Florian Gräf;20452;Luisenstift Berlin;Luisenstift Berlin;Königin-Luise-Straße 95;14195;Berlin;;;;
AQUATRADE Glinde;114507;LS75749;ja;10.03.2026;Estaline Philander;23336;Gebeco GmbH & Co. KG;Gebeco GmbH & Co. KG;Holzkoppelweg 19;24118;Kiel;;;;
VST Schörling;114508;LS75750;ja;16.02.2026;Sönke Rocho;20148;KPIT Technologies GmbH;KPIT Technologies GmbH;Frankfurter Ring 105b;80807;München;;;;
Ines Rütz Appen;114509;LS75751;ja;12.02.2026;Andreas Pöppe;23577;Dataport 1;Dataport Hanse Center (DHC);Wikingerweg 1;20537;Hamburg;;;;
Ines Rütz Appen;114511;LS75752;ja;12.02.2026;Andreas Pöppe;23577;Dataport 1;Dataport Hanse Center (DHC);Wikingerweg 1;20537;Hamburg;;;;
AQUATRADE Glinde;114510;LS75753;ja;17.02.2026;Carmen Berger;27248;Zahnarztpraxis Dr. Hinrichsen;Zahnarztpraxis Dr. Jan Hinrichsen;Kehdenstraße 25;24103;Kiel;;;;
Planegg;114514;LS75754;ja;16.02.2026;Estaline Philander;24488;ARGE PLING Sendling;ARGE PLING Hillebrand-Ehrenreich;Plinganserstraße 56;81369;München;;;;
Ines Rütz Appen;114513;LS75755;ja;12.02.2026;Andreas Pöppe;23577;Dataport 1;Dataport Hanse Center (DHC);Wikingerweg 1;20537;Hamburg;;;;
Planegg;114512;LS75756;ja;13.02.2026;Florian Gräf;20575;R&F Mayer GmbH;R&F Mayer GmbH;Lorcher Str. 51;73547;Lorch-Waldhausen;;;;
Planegg;114515;LS75757;ja;16.02.2026;Florian Gräf;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Kyffhäuser;114516;LS75759;nein;01.03.2026;Estaline Philander;26162;Falck Dorfchemnitz;Falck Notfallrettung u.Katastrophenschutz;An den Gütern 5;08297;Dorfchemnitz;;;;
VST Schörling;114520;LS75760;ja;13.02.2026;Mihaela Abmayr;20148;KPIT Technologies GmbH;KPIT Technologies GmbH;Frankfurter Ring 105b;80807;München;;;;
Planegg;114517;LS75761;ja;13.02.2026;Josefine Mättig;23739;T E A M - Industriebedarf GmbH;CTT Reha-Fachkliniken GmbH;Am Kurzentrum 1;66709;Weiskirchen;;;;
aboutwater Bünde;114518;LS75762;ja;16.02.2026;Petra Gräf;26853;AUGUST STORCK KG;AUGUST STORCK KG;Paulinenweg 12;33790;Halle (Westf.);;;;
Kyffhäuser;114521;LS75763;nein;01.03.2026;Estaline Philander;26165;Falck Thalheim;Falck Notfallrettung u.Katastrophenschutz;Am Stollen 1;09380;Thalheim;;;;
Planegg;114523;LS75764;ja;19.02.2026;Petra Gräf;27249;Autohaus Stanglmair (6) Rottac;Autohaus J. Stanglmair & Co. GmbH;Wiesseer Straße 40;83700;Rottach-Egern;;;;
AMW Auersperg;114524;LS75765;ja;12.03.2026;Petra Gräf;27251;Fleischer-Winkler e.K.;REI BAR I IZAKAYA;Reichenberger Str 36;10999;Berlin;;;;
Planegg;114524;LS75766;ja;16.02.2026;Petra Gräf;27251;Fleischer-Winkler e.K.;REI BAR I IZAKAYA;Reichenberger Str 36;10999;Berlin;;;;
Gänshirt-Aufmbruch;114522;LS75767;ja;01.03.2026;Estaline Philander;25967;Wasserverband Eifel-Rur;Wasserverband Eifel-Rur;Krefelder Str. 299;52070;Aachen;;;;
aboutwater Frankfurt;114525;LS75768;ja;13.02.2026;Estaline Philander;26213;Stadt Frankfurt am Main;Stadt Frankfurt am Main -Der Magistrat-;Solmsstraße 27-37;60486;Frankfurt am Main;;;;
Planegg;114505;LS75771;ja;16.02.2026;Petra Gräf;22791;Vidia GmbH;Vidia GmbH;Bürkleinstraße 10;80538;München;;;;
AQUATRADE Glinde;;LS75772;ja;10.02.2026;Mihaela Abmayr;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
Planegg;114505;LS75773;ja;09.03.2026;Petra Gräf;22791;Vidia GmbH;Vidia GmbH;Bürkleinstraße 10;80538;München;;;;
Planegg;114527;LS75774;ja;27.02.2026;Carmen Berger;21258;Coffice;Ferdinand Bierbichler GmbH&Co.KG;Hofmühlstraße 1-7;83071;Stephanskirchen;;;;
Planegg;113910;LS75215-2;ja;16.02.2026;Petra Gräf;27194;bfw (2) Burglengenfeld;Berufsfortbildungswerk Gemeinützige;Schmidmühlener Str.22 / über Rote-Kreuzstr.;93133;Burglengenfeld;;;;
Planegg;114529;LS75776;ja;13.02.2026;Florian Gräf;26776;Gordon Jannke;Gordon Jannke;Buchenstrasse 2;18375;Prerow;;;;
Planegg;114528;LS75777;ja;13.02.2026;Max Sanktjohanser;27254;Amazon;Amazon Deutschland S38 Transport GmbH;ConneKT 63-65;97318;Kitzingen;;;;
Planegg;114530;LS75778;ja;16.03.2026;Florian Gräf;21170;Grünbeck;Grünbeck AG;Josef-Grünbeck-Straße 1;89420;Höchstädt a. d. Donau;;;;
aboutwater Frankfurt;114531;LS75780;ja;13.02.2026;Carmen Berger;27130;Piab Vakuum;Piab Vakuum GmbH;Otto-Hahn Str. 14;35510;Butzbach;;;;
Planegg;114532;LS75781;ja;13.02.2026;Max Sanktjohanser;27253;Flammkraft;Flammkraft GmbH;Richard-Dunkel Strasse 120;28199;Bremen;;;;
Gänshirt-Aufmbruch;114533;LS75782;ja;07.04.2026;Petra Gräf;27255;Baby Bee Spielraum;Baby Bee Spielraum;Schloßstr. 50;45468;Mülheim an der Ruhr;;;;
Planegg;114533;LS75783;ja;16.02.2026;Petra Gräf;27255;Baby Bee Spielraum;Baby Bee Spielraum;Schloßstr. 50;45468;Mülheim an der Ruhr;;;;
Planegg;114534;LS75784;ja;13.02.2026;Max Sanktjohanser;27256;Rapunzel;Rapunzel Naturkost GmbH & Co. KG;Rapunzelstraße 1;87764;Legau;;;;
Planegg;114535;LS75785;ja;16.02.2026;Estaline Philander;24075;Dombrowski;Malereibetrieb Michael Dombrowski GmbH;Ungererstr. 70 / 5.OG;80805;München;;;;
Planegg;114342;LS75786;ja;17.03.2026;Florian Gräf;25074;global concerts;Global Concerts GmbH;Olympiahalle / Spiridon Louis-Ring 21;81679;München;;;;
AMW Auersperg;106241;LS71106.;ja;13.02.2026;Rene Kühn;25871;Die Darterei Berlin;Die Darterei Berlin UG;Berliner Allee 106;13088;Berlin;;;;
Planegg;114537;LS75789;ja;16.02.2026;Max Sanktjohanser;22642;Amazon Deutschland S6 Trans.;Amazon Deutschland S6 Transport GmbH;An der Heide 8;97714;Oerlenbach;;;;
Gänshirt-Aufmbruch;114538;LS75790;nein;16.02.2026;Andreas Pöppe;23338;Le Gastro;Deutsche Post AG / Abt. 36 + ZB;Lünsingskuhle 70;46282;Dorsten;;;;
Emons;114541;LS75791;ja;16.02.2026;Florian Gräf;20829;Fritz Steinhaus GmbH & Co;Fritz Steinhaus GmbH & Co. KG;Im Heidkamp 17;33334;Gütersloh;;;;
Planegg;114540;LS75792;ja;02.03.2026;Florian Gräf;20829;Fritz Steinhaus GmbH & Co;Fritz Steinhaus GmbH & Co. KG;Im Heidkamp 17;33334;Gütersloh;;;;
Planegg;114542;LS75793;ja;16.02.2026;Max Sanktjohanser;26099;Rheinspan;Rheinspan GmbH & Co. KG;Konrad Nolte Strasse 40;76726;Germersheim;;;;
Magnum Kuhnhenne;114539;LS75794;ja;24.02.2026;Estaline Philander;25250;Falck Ruppichteroth Much;Falck Notfallrettung und Kranken-;St. Florian Str. 8;53809;Ruppichteroth;;;;
Kyffhäuser;;LS75795;ja;24.02.2026;Florian Gräf;20668;Gastro Service Center e.K;Dr. Dany Wieländer;Löhrstr. 4 - 6;04105;Leipzig;;;;
Planegg;114544;LS75796;ja;17.02.2026;Estaline Philander;26095;IKEA (2) City Project Pasing;IKEA City Project South GmbH;Pasinger Bahnhofsplatz 5 / Pasing Arcaden UG;81241;München;;;;
Planegg;114545;LS75797;ja;20.02.2026;Estaline Philander;25670;Punjabi Foods Trading;Punjabi Foods Trading GmbH;Maria-Probst-Str 41a;80939;München;;;;
STK Service;114557;LS75798;ja;25.03.2026;Petra Gräf;22509;Konvortec;Konvortec GmbH;Kappellenweg 64;46514;Schermbeck;;;;
Planegg;114054;LS75799;ja;17.02.2026;Estaline Philander;23936;UBS Europe SE;UBS Europe SE;Europaplatz 1;81675;München;;;;
Planegg;114563;LS75800;ja;17.02.2026;Carmen Berger;23936;UBS Europe SE;UBS Europe SE;Europaplatz 1;81675;München;;;;
Deutscher;114562;LS75802;ja;16.02.2026;Max Sanktjohanser;26513;lgcgroup;Axolabs Berlin GmbH;Wolfenerstr. 23;12681;Berlin;;;;
Planegg;114564;LS75803;ja;17.02.2026;Max Sanktjohanser;27257;Rheinmetall;Rheinmetall Landsysteme GmbH;Dr.-Hell-Straße 6;24107;Kiel;;;;
Planegg;110239;LS75804;ja;17.02.2026;Petra Gräf;27118;Zusje;t Zusje;Markt 52-54;52062;Aachen;;;;
Planegg;114566;LS75805;ja;18.02.2026;Florian Gräf;25911;Wasserversorungsverband Teckle;Wasserversorungsverband Tecklenburger Land;Fuggerstraße 1;49479;Ibbenbühren;;;;
Planegg;114565;LS75806;ja;16.02.2026;Max Sanktjohanser;27258;Johanniter München;Johanniter-Unfall-Hilfe e.V.;Schäftlarnstraße 9;81371;München;;;;
Planegg;114567;LS75807;ja;19.02.2026;Max Sanktjohanser;27236;Schgaguler Schwaige;Schgaguler Schwaige;Piz 5 / Seiser Alm;39040;Kastelruth;;;;
AQUATRADE Glinde;114568;LS75808;ja;18.02.2026;Estaline Philander;25561;EPG Ehrhardt+Partner;Ehrhardt + Partner GmbH & Co. KG;Auf dem Königslande 37;22041;Hamburg;;;;
STK Service;114569;LS75809;ja;18.02.2026;Estaline Philander;23135;Kaffee Express Rhein Ruhr;Kaffee Express Rhein Ruhr;Weg am Kötterberg 15;44807;Bochum;;;;
aboutwater Frankfurt;114570;LS75810;ja;01.03.2026;Carmen Berger;26545;Nextbike;Nextbike GmbH;Brunnenstraße 56;35460;Staufenberg;;;;
Nothhelfer/Ulm+50km;114571;LS75811;ja;01.03.2026;Estaline Philander;25756;Werbeagentur Hüper GmbH;Werbeagentur Hüper GmbH;Im Brühl 1;89520;Heidenheim;;;;
VST Plep;114574;LS75813;ja;27.02.2026;Petra Gräf;27260;Giorgio Armani Zweibrücken;Giorgio Armani Retail S.r.l. - German Branch;Londoner Bogen 10-90;66482;Zweibrücken;;;;
Berlin Wein König;;LS75814;ja;16.02.2026;Florian Gräf;21367;AKONTECH König;Pelmennaia-Backshop;Alte Jakobstr. 77;10179;Berlin;;;;
Planegg;114573;LS75815;ja;27.02.2026;Estaline Philander;23899;MVZ Atrium;MVZ Atrium Dres. Pränger, Hornauer,;Münchner Str. 56 a;83607;Holzkirchen;;;;
Gleisner;114576;LS75816;ja;16.03.2026;Petra Gräf;27086;Die Autobahn Nordbayern;Die Autobahn GmbH des Bundes - NL Nordbayern;Spitzwegstr. 45;95447;Bayreuth;;;;
Planegg;;LS75817;ja;19.02.2026;Petra Gräf;27261;Hausarztpraxis Penzberg;Hausarztpraxis Penzberg Christoph Kempf;Karlstr. 28;82377;Penzberg;;;;
Planegg;112737;LS75818;ja;17.02.2026;Estaline Philander;26312;Trustpilot GmbH;Trustpilot GmbH;Esplanade 40;20354;Hamburg;;;;
VST Schörling;114579;LS75819;ja;18.02.2026;Petra Gräf;22377;Hotel-Gasthof Schützenhaus;Hotel-Gasthof Schützenhaus;Talhofstraße 22;82205;Gilching;;;;
Planegg;114577;LS75820;ja;02.03.2026;Estaline Philander;24368;Audi Eching;Audi München GmbH;Heisenbergstraße 4;85368;Eching;;;;
aboutwater Frankfurt;114581;LS75821;ja;16.02.2026;Carmen Berger;26799;Sonar System GmbH;Sonar System GmbH;Carl-Legien-Straße 15;63073;Offenbach am Main;;;;
AQUATRADE Glinde;20799;LS20907_SN;ja;16.02.2026;Petra Gräf;20128;Avendi GmbH;Avendi GmbH;Alpspitzstraße 4;82131;Stockdorf;;;;
aboutwater Bünde;114583;LS75823;ja;20.02.2026;Florian Gräf;26902;Kreis Paderborn;Kreis Paderborn;Aldegreverstr. 10 - 14;33102;Paderborn;;;;
AQUATRADE Glinde;114582;LS75824;ja;17.02.2026;Estaline Philander;20317;NOL Nordostsee.Leasing;nordostsee.leasing GmbH & Co. KG;Eckernförder Str. 220;24119;Kronshagen;;;;
Planegg;114584;LS75825;ja;19.02.2026;Estaline Philander;23168;Tino Allinger;Tino Allinger;Fuggerstr. 35;86830;Schwabmünchen;;;;
aboutwater Bünde;114587;LS75826;ja;23.02.2026;Petra Gräf;27253;Flammkraft;Flammkraft GmbH;Richard-Dunkel Strasse 120;28199;Bremen;;;;
Planegg;114585;LS75827;ja;25.02.2026;Estaline Philander;23182;Agile Robots AG;Agile Robots SE;Plinganserstrasse 134;81369;München;;;;
Planegg;114586;LS75828;ja;16.02.2026;Max Sanktjohanser;27262;JALIN;JALIN Management GmbH;Kaiserpfalzstr 50;78351;Bodman Ludwigshafen;;;;
VST Schörling;114588;LS75829;ja;09.04.2026;Petra Gräf;27263;Energy2day;Energy2day;Seeholzenstr. 12;82166;Gräfelfing;;;;
Planegg;114589;LS75831;ja;17.02.2026;Petra Gräf;27264;Securepoint GmbH;Securepoint GmbH;Bleckeder Landstraße 28;21337;Lüneburg;;;;
Planegg;114590;LS75832;ja;17.02.2026;Sönke Rocho;20176;markt.de GmbH & Co.KG;markt.de GmbH & Co.KG;Nymphenburger Str. 14;80335;München;;;;
Planegg;;LS75833;ja;05.03.2026;Sönke Rocho;22732;Micro Fuzzy /KPIT-Tochterfirma;Micro Fuzzy Industrie-Elektronic GmbH;Schleißheimer Str 377;80935;München;;;;
Planegg;;LS75834;ja;17.02.2026;Rene Kühn;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
Berlin Wein König;114593;LS75835;ja;17.02.2026;Florian Gräf;22841;K&L Gates Berlin;K & L Gates LLP;Friedrichstraße 110 A;10117;Berlin;;;;
Planegg;114594;LS75836;ja;17.02.2026;Florian Gräf;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Planegg;114596;LS75837;ja;18.02.2026;Rene Kühn;24147;Zaltech International Gmb;Zaltech International GmbH;Salzburger Straße 1;5141;Moosdorf;;;;
STK Service;114595;LS75838;ja;18.02.2026;Estaline Philander;26367;Eis-Café Konditorei Perfekt;Eis-Café Konditorei Perfekt;Friedrich-Ebert-Straße 62;45127;Essen;;;;
Planegg;114597;LS75840;ja;17.02.2026;Max Sanktjohanser;21149;Flaschenland;Flaschenland GmbH;Am Kirchenwald 1;56235;Ransbach-Baumbach;;;;
AQUATRADE Bram;114598;LS75841;ja;17.02.2026;Florian Gräf;21204;MB Well Service;MB Well Services GmbH;Ostfriesestraße 100;26388;Wilhelmshaven;;;;
Planegg;114599;LS75842;ja;17.02.2026;Max Sanktjohanser;10088;Carl Wilhelm Clasen / LGR Nuss;Carl Wilhelm Clasen GmbH;Kesselflickerstraße 10;21493;Elmenhorst/Ianken;;;;
Planegg;114601;LS75843;ja;17.02.2026;Max Sanktjohanser;27264;Securepoint GmbH;Securepoint GmbH;Bleckeder Landstraße 28;21337;Lüneburg;;;;
CJM;112971;LI260179, 26.01.;ja;01.02.2026;Petra Gräf;27090;BäckerMann;BäckerMann Backwaren und Feinkost GmbH;Südwestkorso 9;12161;Berlin;;;;
Planegg;;LS75845;ja;24.02.2026;Carmen Berger;23635;Zahnarztpraxis Dr.Tandogan;Zahnarztpraxis Dr.Tandogan;Zweibrückenstraße 6;80331;München;;;;
VST Schörling;114606;LS75846;ja;23.02.2026;Andreas Pöppe;24333;Bayern FM;Bayerische Landesbrandversicherung;Warngauer Str. 30;81539;München;;;;
Planegg;114603;LS75847;ja;24.02.2026;Estaline Philander;26800;Gentleman & CO Barbershop GmbH;Gentleman Barbershop Classic & Modern;Herzog-Wilhelm-Str. 25;80331;München;;;;
Planegg;114604;LS75848;ja;19.02.2026;Max Sanktjohanser;27199;infoteam software;infoteam software;Am Bauhof 9;91088;Bubenreuth;;;;
Planegg;114608;LS75849;ja;17.02.2026;Christian Irrgang;20298;Atlantis;Atlantis Trinkwassertechnik GmbH;Kornstr. 4;79258;Hartheim;;;;
Planegg;114605;LS75850;ja;17.02.2026;Christian Irrgang;20481;Christian Irrgang;Ursula Schober;Greisbach 67;8511;St. Stefan ob Stainz;;;;
Emons;114607;LS75852;ja;17.02.2026;Max Sanktjohanser;25408;Alsterfood GmbH;AlsterFood GmbH;Borgwardstraße 10;21423;Winsen (Luhe);;;;
aboutwater Frankfurt;114609;LS75853;ja;17.02.2026;Carmen Berger;26882;Mager;Albert Mager;Boseweg 78;60529;Frankfurt;;;;
aboutwater Frankfurt;;LS75854;ja;17.02.2026;Carmen Berger;25048;HCC (1) Hessische Zentrale;Hessische Zentrale für Datenverarbeitung;Kaiser-Friedrich-Ring 98;65185;Wiesbaden;;;;
VST Schörling;114612;LS75855;ja;18.03.2026;Estaline Philander;26476;Knettenbrech + Gurdulic Süd 2;Knettenbrech + Gurdulic Süd GmbH;Schützenstraße 10;86842;Türkheim;;;;
Planegg;114613;LS75856;ja;19.02.2026;Estaline Philander;22000;Heine Optotechnik;HEINE Optotechnik GmbH & Co. KG;Dornierstraße 6;82205;Gilching;;;;
Planegg;114614;LS75857;ja;19.02.2026;Estaline Philander;24311;1:1 Assekuranzservice;1:1 Assekuranzservice AG;Berliner Allee 28;86153;Augsburg;;;;
Planegg;114618;LS75858;ja;19.02.2026;Max Sanktjohanser;20708;Kyffhäuser Waterworld;MHB Energie GmbH;Magdeburger Str. 94c;06862;Dessau-Roßlau;;;;
STK Service;114619;LS75859;nein;01.03.2026;Estaline Philander;26948;facilicon GmbH;facilicon GmbH;Am Gewerbehof 28;50170;Kerpen;;;;
AMW Auersperg;;LS75860;ja;18.02.2026;Florian Gräf;26168;smartvillage B-Neukölln;smartvillage B Neukölln GmbH;Karl-Marx- Str. 101;12043;Berlin;;;;
Planegg;114620;LS75861;ja;19.02.2026;Estaline Philander;23450;Traut Bürokommunikation;TRAUT Bürokommunikation GmbH & Co. KG;Boschstr. 10;82178;Puchheim;;;;
Planegg;114621;LS75862;ja;17.02.2026;Max Sanktjohanser;23424;Kliniken Schmieder;Kliniken Schmieder (Stiftung & Co.) KG;Eichhornstraße 68;78464;Konstanz;;;;
Planegg;114623;LS75863;ja;17.02.2026;Max Sanktjohanser;23160;Esmeyer GmbH & Co. KG;Esmeyer GmbH & Co. KG;Bessemer Strasse 3-5;40699;Erkrath;;;;
Planegg;114624;LS75864;ja;01.04.2026;Estaline Philander;20120;Schmid Alarm GmbH;Schmid Alarm GmbH;Gautinger Str. 9;82131;Stockdorf;;;;
Planegg;114625;LS75865;nein;01.04.2026;Florian Gräf;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
VST Schörling;114626;LS75866;ja;20.02.2026;Estaline Philander;20235;Vites GmbH;Vites GmbH;Einsteinstraße 32;85521;Ottobrunn;;;;
Planegg;114628;LS75867;ja;17.02.2026;Max Sanktjohanser;27215;BIZOLUTION GmbH;BIZOLUTION GmbH;Finkenstrasse 10;73492;Rainau;;;;
VST Schörling;114630;LS75869;ja;10.03.2026;Logistik;23338;Le Gastro;Deutsche Post AG;Südallee;85356;München - Flughafen;;;;
VST Schörling;114631;LS75870;ja;10.03.2026;Logistik;23338;Le Gastro;Deutsche Post AG;Südallee;85356;München - Flughafen;;;;
VST Schörling;114632;LS75871;ja;10.03.2026;Logistik;23338;Le Gastro;Deutsche Post AG;Südallee;85356;München - Flughafen;;;;
VST Schörling;114633;LS75872;ja;10.03.2026;Logistik;23338;Le Gastro;Deutsche Post AG;Südallee;85356;München - Flughafen;;;;
STK Service;114627;LS75873;nein;01.03.2026;Estaline Philander;26948;facilicon GmbH;facilicon GmbH;An der Wachsfabrik 17;50996;Köln;;;;
VST Schörling;114634;LS75874;ja;10.03.2026;Logistik;23338;Le Gastro;Deutsche Post AG;Südallee;85356;München - Flughafen;;;;
aboutwater Bünde;114635;LS75875;ja;23.02.2026;Estaline Philander;24247;Stroetmann Saat Münster;L. Stroetmann Saat GmbH & Co. KG;Lübecker Str. 33;48163;Münster;;;;
Kyffhäuser;114629;LS75876;ja;23.02.2026;Petra Gräf;23338;Le Gastro;Deutsche Post Immobilien GmbH;Stangenallee 1;99428;Grammetal / OT Nohra;;;;
Emons;101472;LS75877;ja;17.02.2026;Florian Gräf;21795;GEWO Feinmechanik GmbH;GEWO Feinmechanik GmbH & Co. KG;Bahnhofstr. 45;85457;Wörth/Hörlkofen;;;;
Planegg;114636;LS75878;ja;17.02.2026;Christian Irrgang;26888;Royalcore King of Tech;King of Tech;Eresburgstraße 24, C/O WorkBox 125;12103;Berlin;;;;
Planegg;114638;LS75881;ja;18.02.2026;Florian Gräf;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Emons;;LS75882;ja;18.02.2026;Florian Gräf;20654;Karl Gengenbach GmbH & Co;Karl Gengenbach GmbH & Co. KG;Aschenhausweg 4;74523;Schwäbisch Hall;;;;
Planegg;114640;LS75883;ja;25.02.2026;Estaline Philander;23012;Iyuno;Iyuno Germany GmbH;Lindwurmstraße 88  / 2.+3. OG;80337;München;;;;
Emons;114642;LS75884;ja;18.02.2026;Max Sanktjohanser;22164;Amazon Deutschland W2 Trans.;Amazon Deutschland W2 Transport GmbH;Rudolf-Diesel-Straße 2;56566;Neuwied;;;;
Planegg;114641;LS75885;ja;19.02.2026;Estaline Philander;22078;Sprachschule Aktiv;Sprachschule Aktiv;Heßstraße 90;80797;München;;;;
Planegg;114643;LS75886;ja;18.02.2026;Christian Irrgang;22467;Agentur für Arbeit Rosenheim;Agentur für Arbeit Rosenheim;Wittelsbacher Str. 57;83022;Rosenheim;;;;
Planegg;114644;LS75887;ja;18.02.2026;Max Sanktjohanser;27266;Dolomiten Apotheke;Dolomiten Apotheke;Glocknerstr. 20b;9990;Nußdorf-Debant;;;;
Planegg;114645;LS75888;ja;24.02.2026;Estaline Philander;23392;MYOS Sport & Health GmbH;MYOS Sport & Health GmbH;Leopoldstraße 175;80804;München;;;;
Planegg;114648;LS75889;ja;19.03.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Gewerbepark 25;85250;Altomünster;;;;
Planegg;114649;LS75890;ja;23.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Am Bachfeld 4;85395;Attenkirchen;;;;
Planegg;114650;LS75891;ja;17.03.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Bahnhofstr. 7;85221;Dachau;;;;
